ΔV,μϵ_W,η_ηc,P_w2
-0.1,-0.4430379746835443,0.0,0.0
-0.1,-0.46835443037974683,0.0,0.0
-0.1,-0.4936708860759494,0.0,0.0
-0.1,-0.5189873417721519,0.0,0.0
-0.1,-0.5443037974683544,0.0,0.0
-0.1,-0.569620253164557,0.0,0.0
-0.1,-0.5949367088607594,0.0,0.0
-0.1,-0.620253164556962,0.0,0.0
-0.1,-0.6455696202531646,0.0,0.0
-0.1,-0.6708860759493671,0.0,0.0
-0.1,-0.6962025316455697,0.0,0.0
-0.1,-0.7215189873417721,0.0,0.0
-0.1,-0.7468354430379747,0.0,0.0
-0.1,-0.7721518987341772,0.0,0.0
-0.1,-0.7974683544303798,0.0,0.0
-0.1,-0.8227848101265823,0.0,0.0
-0.1,-0.8481012658227848,0.0,0.0
-0.1,-0.8734177215189873,0.0,0.0
-0.1,-0.8987341772151899,0.0,0.0
-0.1,-0.9240506329113924,0.0,0.0
-0.1,-0.9493670886075949,0.0,0.0
-0.1,-0.9746835443037974,0.0,0.0
-0.1,-1.0,0.0,0.0
-0.09746835443037975,1.0,0.0,0.0
-0.09746835443037975,0.9746835443037974,0.0,0.0
-0.09746835443037975,0.9493670886075949,0.0,0.0
-0.09746835443037975,0.9240506329113924,0.0,0.0
-0.09746835443037975,0.8987341772151899,0.0,0.0
-0.09746835443037975,0.8734177215189873,0.0,0.0
-0.09746835443037975,0.8481012658227848,0.0,0.0
-0.09746835443037975,0.8227848101265823,0.0,0.0
-0.09746835443037975,0.7974683544303798,0.0,0.0
-0.09746835443037975,0.7721518987341772,0.0,0.0
-0.09746835443037975,0.7468354430379747,0.0,0.0
-0.09746835443037975,0.7215189873417721,0.0,0.0
-0.09746835443037975,0.6962025316455697,0.0,0.0
-0.09746835443037975,0.6708860759493671,0.0,0.0
-0.09746835443037975,0.6455696202531646,0.0,0.0
-0.09746835443037975,0.620253164556962,0.0,0.0
-0.09746835443037975,0.5949367088607594,0.0,0.0
-0.09746835443037975,0.569620253164557,0.0,0.0
-0.09746835443037975,0.5443037974683544,0.0,0.0
-0.09746835443037975,0.5189873417721519,0.0,0.0
-0.09746835443037975,0.4936708860759494,0.0,0.0
-0.09746835443037975,0.46835443037974683,0.0,0.0
-0.09746835443037975,0.4430379746835443,0.0,0.0
-0.09746835443037975,0.4177215189873418,0.0,0.0
-0.09746835443037975,0.3924050632911392,0.0,0.0
-0.09746835443037975,0.3670886075949367,0.0,0.0
-0.09746835443037975,0.34177215189873417,0.0,0.0
-0.09746835443037975,0.31645569620253167,0.0,0.0
-0.09746835443037975,0.2911392405063291,0.0,0.0
-0.09746835443037975,0.26582278481012656,0.0,0.0
-0.09746835443037975,0.24050632911392406,0.0,0.0
-0.09746835443037975,0.21518987341772153,0.0,0.0
-0.09746835443037975,0.189873417721519,0.0,0.0
-0.09746835443037975,0.16455696202531644,0.0,0.0
-0.09746835443037975,0.13924050632911392,0.0,0.0
-0.09746835443037975,0.11392405063291139,0.0,0.0
-0.09746835443037975,0.08860759493670886,0.0,0.0
-0.09746835443037975,0.06329113924050633,0.0,0.0
-0.09746835443037975,0.0379746835443038,0.0,0.0
-0.09746835443037975,0.012658227848101266,0.0,0.0
-0.09746835443037975,-0.012658227848101266,0.0,0.0
-0.09746835443037975,-0.0379746835443038,0.0,0.0
-0.09746835443037975,-0.06329113924050633,0.0,0.0
-0.09746835443037975,-0.08860759493670886,0.0,0.0
-0.09746835443037975,-0.11392405063291139,0.0,0.0
-0.09746835443037975,-0.13924050632911392,0.0,0.0
-0.09746835443037975,-0.16455696202531644,0.0,0.0
-0.09746835443037975,-0.189873417721519,0.0,0.0
-0.09746835443037975,-0.21518987341772153,0.0,0.0
-0.09746835443037975,-0.24050632911392406,0.0,0.0
-0.09746835443037975,-0.26582278481012656,0.0,0.0
-0.09746835443037975,-0.2911392405063291,0.0,0.0
-0.09746835443037975,-0.31645569620253167,0.0,0.0
-0.09746835443037975,-0.34177215189873417,0.0,0.0
-0.09746835443037975,-0.3670886075949367,0.0,0.0
-0.09746835443037975,-0.3924050632911392,0.0,0.0
-0.09746835443037975,-0.4177215189873418,0.0,0.0
-0.09746835443037975,-0.4430379746835443,0.0,0.0
-0.09746835443037975,-0.46835443037974683,0.0,0.0
-0.09746835443037975,-0.4936708860759494,0.0,0.0
-0.09746835443037975,-0.5189873417721519,0.0,0.0
-0.09746835443037975,-0.5443037974683544,0.0,0.0
-0.09746835443037975,-0.569620253164557,0.0,0.0
-0.09746835443037975,-0.5949367088607594,0.0,0.0
-0.09746835443037975,-0.620253164556962,0.0,0.0
-0.09746835443037975,-0.6455696202531646,0.0,0.0
-0.09746835443037975,-0.6708860759493671,0.0,0.0
-0.09746835443037975,-0.6962025316455697,0.0,0.0
-0.09746835443037975,-0.7215189873417721,0.0,0.0
-0.09746835443037975,-0.7468354430379747,0.0,0.0
-0.09746835443037975,-0.7721518987341772,0.0,0.0
-0.09746835443037975,-0.7974683544303798,0.0,0.0
-0.09746835443037975,-0.8227848101265823,0.0,0.0
-0.09746835443037975,-0.8481012658227848,0.0,0.0
-0.09746835443037975,-0.8734177215189873,0.0,0.0
-0.09746835443037975,-0.8987341772151899,0.0,0.0
-0.09746835443037975,-0.9240506329113924,0.0,0.0
-0.09746835443037975,-0.9493670886075949,0.0,0.0
-0.09746835443037975,-0.9746835443037974,0.0,0.0
-0.09746835443037975,-1.0,0.0,0.0
-0.0949367088607595,1.0,0.0,0.0
-0.0949367088607595,0.9746835443037974,0.0,0.0
-0.0949367088607595,0.9493670886075949,0.0,0.0
-0.0949367088607595,0.9240506329113924,0.0,0.0
-0.0949367088607595,0.8987341772151899,0.0,0.0
-0.0949367088607595,0.8734177215189873,0.0,0.0
-0.0949367088607595,0.8481012658227848,0.0,0.0
-0.0949367088607595,0.8227848101265823,0.0,0.0
-0.0949367088607595,0.7974683544303798,0.0,0.0
-0.0949367088607595,0.7721518987341772,0.0,0.0
-0.0949367088607595,0.7468354430379747,0.0,0.0
-0.0949367088607595,0.7215189873417721,0.0,0.0
-0.0949367088607595,0.6962025316455697,0.0,0.0
-0.0949367088607595,0.6708860759493671,0.0,0.0
-0.0949367088607595,0.6455696202531646,0.0,0.0
-0.0949367088607595,0.620253164556962,0.0,0.0
-0.0949367088607595,0.5949367088607594,0.0,0.0
-0.0949367088607595,0.569620253164557,0.0,0.0
-0.0949367088607595,0.5443037974683544,0.0,0.0
-0.0949367088607595,0.5189873417721519,0.0,0.0
-0.0949367088607595,0.4936708860759494,0.0,0.0
-0.0949367088607595,0.46835443037974683,0.0,0.0
-0.0949367088607595,0.4430379746835443,0.0,0.0
-0.0949367088607595,0.4177215189873418,0.0,0.0
-0.0949367088607595,0.3924050632911392,0.0,0.0
-0.0949367088607595,0.3670886075949367,0.0,0.0
-0.0949367088607595,0.34177215189873417,0.0,0.0
-0.0949367088607595,0.31645569620253167,0.0,0.0
-0.0949367088607595,0.2911392405063291,0.0,0.0
-0.0949367088607595,0.26582278481012656,0.0,0.0
-0.0949367088607595,0.24050632911392406,0.0,0.0
-0.0949367088607595,0.21518987341772153,0.0,0.0
-0.0949367088607595,0.189873417721519,0.0,0.0
-0.0949367088607595,0.16455696202531644,0.0,0.0
-0.0949367088607595,0.13924050632911392,0.0,0.0
-0.0949367088607595,0.11392405063291139,0.0,0.0
-0.0949367088607595,0.08860759493670886,0.0,0.0
-0.0949367088607595,0.06329113924050633,0.0,0.0
-0.0949367088607595,0.0379746835443038,0.0,0.0
-0.0949367088607595,0.012658227848101266,0.0,0.0
-0.0949367088607595,-0.012658227848101266,0.0,0.0
-0.0949367088607595,-0.0379746835443038,0.0,0.0
-0.0949367088607595,-0.06329113924050633,0.0,0.0
-0.0949367088607595,-0.08860759493670886,0.0,0.0
-0.0949367088607595,-0.11392405063291139,0.0,0.0
-0.0949367088607595,-0.13924050632911392,0.0,0.0
-0.0949367088607595,-0.16455696202531644,0.0,0.0
-0.0949367088607595,-0.189873417721519,0.0,0.0
-0.0949367088607595,-0.21518987341772153,0.0,0.0
-0.0949367088607595,-0.24050632911392406,0.0,0.0
-0.0949367088607595,-0.26582278481012656,0.0,0.0
-0.0949367088607595,-0.2911392405063291,0.0,0.0
-0.0949367088607595,-0.31645569620253167,0.0,0.0
-0.0949367088607595,-0.34177215189873417,0.0,0.0
-0.0949367088607595,-0.3670886075949367,0.0,0.0
-0.0949367088607595,-0.3924050632911392,0.0,0.0
-0.0949367088607595,-0.4177215189873418,0.0,0.0
-0.0949367088607595,-0.4430379746835443,0.0,0.0
-0.0949367088607595,-0.46835443037974683,0.0,0.0
-0.0949367088607595,-0.4936708860759494,0.0,0.0
-0.0949367088607595,-0.5189873417721519,0.0,0.0
-0.0949367088607595,-0.5443037974683544,0.0,0.0
-0.0949367088607595,-0.569620253164557,0.0,0.0
-0.0949367088607595,-0.5949367088607594,0.0,0.0
-0.0949367088607595,-0.620253164556962,0.0,0.0
-0.0949367088607595,-0.6455696202531646,0.0,0.0
-0.0949367088607595,-0.6708860759493671,0.0,0.0
-0.0949367088607595,-0.6962025316455697,0.0,0.0
-0.0949367088607595,-0.7215189873417721,0.0,0.0
-0.0949367088607595,-0.7468354430379747,0.0,0.0
-0.0949367088607595,-0.7721518987341772,0.0,0.0
-0.0949367088607595,-0.7974683544303798,0.0,0.0
-0.0949367088607595,-0.8227848101265823,0.0,0.0
-0.0949367088607595,-0.8481012658227848,0.0,0.0
-0.0949367088607595,-0.8734177215189873,0.0,0.0
-0.0949367088607595,-0.8987341772151899,0.0,0.0
-0.0949367088607595,-0.9240506329113924,0.0,0.0
-0.0949367088607595,-0.9493670886075949,0.0,0.0
-0.0949367088607595,-0.9746835443037974,0.0,0.0
-0.0949367088607595,-1.0,0.0,0.0
-0.09240506329113925,1.0,0.0,0.0
-0.09240506329113925,0.9746835443037974,0.0,0.0
-0.09240506329113925,0.9493670886075949,0.0,0.0
-0.09240506329113925,0.9240506329113924,0.0,0.0
-0.09240506329113925,0.8987341772151899,0.0,0.0
-0.09240506329113925,0.8734177215189873,0.0,0.0
-0.09240506329113925,0.8481012658227848,0.0,0.0
-0.09240506329113925,0.8227848101265823,0.0,0.0
-0.09240506329113925,0.7974683544303798,0.0,0.0
-0.09240506329113925,0.7721518987341772,0.0,0.0
-0.09240506329113925,0.7468354430379747,0.0,0.0
-0.09240506329113925,0.7215189873417721,0.0,0.0
-0.09240506329113925,0.6962025316455697,0.0,0.0
-0.09240506329113925,0.6708860759493671,0.0,0.0
-0.09240506329113925,0.6455696202531646,0.0,0.0
-0.09240506329113925,0.620253164556962,0.0,0.0
-0.09240506329113925,0.5949367088607594,0.0,0.0
-0.09240506329113925,0.569620253164557,0.0,0.0
-0.09240506329113925,0.5443037974683544,0.0,0.0
-0.09240506329113925,0.5189873417721519,0.0,0.0
-0.09240506329113925,0.4936708860759494,0.0,0.0
-0.09240506329113925,0.46835443037974683,0.0,0.0
-0.09240506329113925,0.4430379746835443,0.0,0.0
-0.09240506329113925,0.4177215189873418,0.0,0.0
-0.09240506329113925,0.3924050632911392,0.0,0.0
-0.09240506329113925,0.3670886075949367,0.0,0.0
-0.09240506329113925,0.34177215189873417,0.0,0.0
-0.09240506329113925,0.31645569620253167,0.0,0.0
-0.09240506329113925,0.2911392405063291,0.0,0.0
-0.09240506329113925,0.26582278481012656,0.0,0.0
-0.09240506329113925,0.24050632911392406,0.0,0.0
-0.09240506329113925,0.21518987341772153,0.0,0.0
-0.09240506329113925,0.189873417721519,0.0,0.0
-0.09240506329113925,0.16455696202531644,0.0,0.0
-0.09240506329113925,0.13924050632911392,0.0,0.0
-0.09240506329113925,0.11392405063291139,0.0,0.0
-0.09240506329113925,0.08860759493670886,0.0,0.0
-0.09240506329113925,0.06329113924050633,0.0,0.0
-0.09240506329113925,0.0379746835443038,0.0,0.0
-0.09240506329113925,0.012658227848101266,0.0,0.0
-0.09240506329113925,-0.012658227848101266,0.0,0.0
-0.09240506329113925,-0.0379746835443038,0.0,0.0
-0.09240506329113925,-0.06329113924050633,0.0,0.0
-0.09240506329113925,-0.08860759493670886,0.0,0.0
-0.09240506329113925,-0.11392405063291139,0.0,0.0
-0.09240506329113925,-0.13924050632911392,0.0,0.0
-0.09240506329113925,-0.16455696202531644,0.0,0.0
-0.09240506329113925,-0.189873417721519,0.0,0.0
-0.09240506329113925,-0.21518987341772153,0.0,0.0
-0.09240506329113925,-0.24050632911392406,0.0,0.0
-0.09240506329113925,-0.26582278481012656,0.0,0.0
-0.09240506329113925,-0.2911392405063291,0.0,0.0
-0.09240506329113925,-0.31645569620253167,0.0,0.0
-0.09240506329113925,-0.34177215189873417,0.0,0.0
-0.09240506329113925,-0.3670886075949367,0.0,0.0
-0.09240506329113925,-0.3924050632911392,0.0,0.0
-0.09240506329113925,-0.4177215189873418,0.0,0.0
-0.09240506329113925,-0.4430379746835443,0.0,0.0
-0.09240506329113925,-0.46835443037974683,0.0,0.0
-0.09240506329113925,-0.4936708860759494,0.0,0.0
-0.09240506329113925,-0.5189873417721519,0.0,0.0
-0.09240506329113925,-0.5443037974683544,0.0,0.0
-0.09240506329113925,-0.569620253164557,0.0,0.0
-0.09240506329113925,-0.5949367088607594,0.0,0.0
-0.09240506329113925,-0.620253164556962,0.0,0.0
-0.09240506329113925,-0.6455696202531646,0.0,0.0
-0.09240506329113925,-0.6708860759493671,0.0,0.0
-0.09240506329113925,-0.6962025316455697,0.0,0.0
-0.09240506329113925,-0.7215189873417721,0.0,0.0
-0.09240506329113925,-0.7468354430379747,0.0,0.0
-0.09240506329113925,-0.7721518987341772,0.0,0.0
-0.09240506329113925,-0.7974683544303798,0.0,0.0
-0.09240506329113925,-0.8227848101265823,0.0,0.0
-0.09240506329113925,-0.8481012658227848,0.0,0.0
-0.09240506329113925,-0.8734177215189873,0.0,0.0
-0.09240506329113925,-0.8987341772151899,0.0,0.0
-0.09240506329113925,-0.9240506329113924,0.0,0.0
-0.09240506329113925,-0.9493670886075949,0.0,0.0
-0.09240506329113925,-0.9746835443037974,0.0,0.0
-0.09240506329113925,-1.0,0.0,0.0
-0.08987341772151898,1.0,0.0,0.0
-0.08987341772151898,0.9746835443037974,0.0,0.0
-0.08987341772151898,0.9493670886075949,0.0,0.0
-0.08987341772151898,0.9240506329113924,0.0,0.0
-0.08987341772151898,0.8987341772151899,0.0,0.0
-0.08987341772151898,0.8734177215189873,0.0,0.0
-0.08987341772151898,0.8481012658227848,0.0,0.0
-0.08987341772151898,0.8227848101265823,0.0,0.0
-0.08987341772151898,0.7974683544303798,0.0,0.0
-0.08987341772151898,0.7721518987341772,0.0,0.0
-0.08987341772151898,0.7468354430379747,0.0,0.0
-0.08987341772151898,0.7215189873417721,0.0,0.0
-0.08987341772151898,0.6962025316455697,0.0,0.0
-0.08987341772151898,0.6708860759493671,0.0,0.0
-0.08987341772151898,0.6455696202531646,0.0,0.0
-0.08987341772151898,0.620253164556962,0.0,0.0
-0.08987341772151898,0.5949367088607594,0.0,0.0
-0.08987341772151898,0.569620253164557,0.0,0.0
-0.08987341772151898,0.5443037974683544,0.0,0.0
-0.08987341772151898,0.5189873417721519,0.0,0.0
-0.08987341772151898,0.4936708860759494,0.0,0.0
-0.08987341772151898,0.46835443037974683,0.0,0.0
-0.08987341772151898,0.4430379746835443,0.0,0.0
-0.08987341772151898,0.4177215189873418,0.0,0.0
-0.08987341772151898,0.3924050632911392,0.0,0.0
-0.08987341772151898,0.3670886075949367,0.0,0.0
-0.08987341772151898,0.34177215189873417,0.0,0.0
-0.08987341772151898,0.31645569620253167,0.0,0.0
-0.08987341772151898,0.2911392405063291,0.0,0.0
-0.08987341772151898,0.26582278481012656,0.0,0.0
-0.08987341772151898,0.24050632911392406,0.0,0.0
-0.08987341772151898,0.21518987341772153,0.0,0.0
-0.08987341772151898,0.189873417721519,0.0,0.0
-0.08987341772151898,0.16455696202531644,0.0,0.0
-0.08987341772151898,0.13924050632911392,0.0,0.0
-0.08987341772151898,0.11392405063291139,0.0,0.0
-0.08987341772151898,0.08860759493670886,0.0,0.0
-0.08987341772151898,0.06329113924050633,0.0,0.0
-0.08987341772151898,0.0379746835443038,0.0,0.0
-0.08987341772151898,0.012658227848101266,0.0,0.0
-0.08987341772151898,-0.012658227848101266,0.0,0.0
-0.08987341772151898,-0.0379746835443038,0.0,0.0
-0.08987341772151898,-0.06329113924050633,0.0,0.0
-0.08987341772151898,-0.08860759493670886,0.0,0.0
-0.08987341772151898,-0.11392405063291139,0.0,0.0
-0.08987341772151898,-0.13924050632911392,0.0,0.0
-0.08987341772151898,-0.16455696202531644,0.0,0.0
-0.08987341772151898,-0.189873417721519,0.0,0.0
-0.08987341772151898,-0.21518987341772153,0.0,0.0
-0.08987341772151898,-0.24050632911392406,0.0,0.0
-0.08987341772151898,-0.26582278481012656,0.0,0.0
-0.08987341772151898,-0.2911392405063291,0.0,0.0
-0.08987341772151898,-0.31645569620253167,0.0,0.0
-0.08987341772151898,-0.34177215189873417,0.0,0.0
-0.08987341772151898,-0.3670886075949367,0.0,0.0
-0.08987341772151898,-0.3924050632911392,0.0,0.0
-0.08987341772151898,-0.4177215189873418,0.0,0.0
-0.08987341772151898,-0.4430379746835443,0.0,0.0
-0.08987341772151898,-0.46835443037974683,0.0,0.0
-0.08987341772151898,-0.4936708860759494,0.0,0.0
-0.08987341772151898,-0.5189873417721519,0.0,0.0
-0.08987341772151898,-0.5443037974683544,0.0,0.0
-0.08987341772151898,-0.569620253164557,0.0,0.0
-0.08987341772151898,-0.5949367088607594,0.0,0.0
-0.08987341772151898,-0.620253164556962,0.0,0.0
-0.08987341772151898,-0.6455696202531646,0.0,0.0
-0.08987341772151898,-0.6708860759493671,0.0,0.0
-0.08987341772151898,-0.6962025316455697,0.0,0.0
-0.08987341772151898,-0.7215189873417721,0.0,0.0
-0.08987341772151898,-0.7468354430379747,0.0,0.0
-0.08987341772151898,-0.7721518987341772,0.0,0.0
-0.08987341772151898,-0.7974683544303798,0.0,0.0
-0.08987341772151898,-0.8227848101265823,0.0,0.0
-0.08987341772151898,-0.8481012658227848,0.0,0.0
-0.08987341772151898,-0.8734177215189873,0.0,0.0
-0.08987341772151898,-0.8987341772151899,0.0,0.0
-0.08987341772151898,-0.9240506329113924,0.0,0.0
-0.08987341772151898,-0.9493670886075949,0.0,0.0
-0.08987341772151898,-0.9746835443037974,0.0,0.0
-0.08987341772151898,-1.0,0.0,0.0
-0.08734177215189873,1.0,0.0,0.0
-0.08734177215189873,0.9746835443037974,0.0,0.0
-0.08734177215189873,0.9493670886075949,0.0,0.0
-0.08734177215189873,0.9240506329113924,0.0,0.0
-0.08734177215189873,0.8987341772151899,0.0,0.0
-0.08734177215189873,0.8734177215189873,0.0,0.0
-0.08734177215189873,0.8481012658227848,0.0,0.0
-0.08734177215189873,0.8227848101265823,0.0,0.0
-0.08734177215189873,0.7974683544303798,0.0,0.0
-0.08734177215189873,0.7721518987341772,0.0,0.0
-0.08734177215189873,0.7468354430379747,0.0,0.0
-0.08734177215189873,0.7215189873417721,0.0,0.0
-0.08734177215189873,0.6962025316455697,0.0,0.0
-0.08734177215189873,0.6708860759493671,0.0,0.0
-0.08734177215189873,0.6455696202531646,0.0,0.0
-0.08734177215189873,0.620253164556962,0.0,0.0
-0.08734177215189873,0.5949367088607594,0.0,0.0
-0.08734177215189873,0.569620253164557,0.0,0.0
-0.08734177215189873,0.5443037974683544,0.0,0.0
-0.08734177215189873,0.5189873417721519,0.0,0.0
-0.08734177215189873,0.4936708860759494,0.0,0.0
-0.08734177215189873,0.46835443037974683,0.0,0.0
-0.08734177215189873,0.4430379746835443,0.0,0.0
-0.08734177215189873,0.4177215189873418,0.0,0.0
-0.08734177215189873,0.3924050632911392,0.0,0.0
-0.08734177215189873,0.3670886075949367,0.0,0.0
-0.08734177215189873,0.34177215189873417,0.0,0.0
-0.08734177215189873,0.31645569620253167,0.0,0.0
-0.08734177215189873,0.2911392405063291,0.0,0.0
-0.08734177215189873,0.26582278481012656,0.0,0.0
-0.08734177215189873,0.24050632911392406,0.0,0.0
-0.08734177215189873,0.21518987341772153,0.0,0.0
-0.08734177215189873,0.189873417721519,0.0,0.0
-0.08734177215189873,0.16455696202531644,0.0,0.0
-0.08734177215189873,0.13924050632911392,0.0,0.0
-0.08734177215189873,0.11392405063291139,0.0,0.0
-0.08734177215189873,0.08860759493670886,0.0,0.0
-0.08734177215189873,0.06329113924050633,0.0,0.0
-0.08734177215189873,0.0379746835443038,0.0,0.0
-0.08734177215189873,0.012658227848101266,0.0,0.0
-0.08734177215189873,-0.012658227848101266,0.0,0.0
-0.08734177215189873,-0.0379746835443038,0.0,0.0
-0.08734177215189873,-0.06329113924050633,0.0,0.0
-0.08734177215189873,-0.08860759493670886,0.0,0.0
-0.08734177215189873,-0.11392405063291139,0.0,0.0
-0.08734177215189873,-0.13924050632911392,0.0,0.0
-0.08734177215189873,-0.16455696202531644,0.0,0.0
-0.08734177215189873,-0.189873417721519,0.0,0.0
-0.08734177215189873,-0.21518987341772153,0.0,0.0
-0.08734177215189873,-0.24050632911392406,0.0,0.0
-0.08734177215189873,-0.26582278481012656,0.0,0.0
-0.08734177215189873,-0.2911392405063291,0.0,0.0
-0.08734177215189873,-0.31645569620253167,0.0,0.0
-0.08734177215189873,-0.34177215189873417,0.0,0.0
-0.08734177215189873,-0.3670886075949367,0.0,0.0
-0.08734177215189873,-0.3924050632911392,0.0,0.0
-0.08734177215189873,-0.4177215189873418,0.0,0.0
-0.08734177215189873,-0.4430379746835443,0.0,0.0
-0.08734177215189873,-0.46835443037974683,0.0,0.0
-0.08734177215189873,-0.4936708860759494,0.0,0.0
-0.08734177215189873,-0.5189873417721519,0.0,0.0
-0.08734177215189873,-0.5443037974683544,0.0,0.0
-0.08734177215189873,-0.569620253164557,0.0,0.0
-0.08734177215189873,-0.5949367088607594,0.0,0.0
-0.08734177215189873,-0.620253164556962,0.0,0.0
-0.08734177215189873,-0.6455696202531646,0.0,0.0
-0.08734177215189873,-0.6708860759493671,0.0,0.0
-0.08734177215189873,-0.6962025316455697,0.0,0.0
-0.08734177215189873,-0.7215189873417721,0.0,0.0
-0.08734177215189873,-0.7468354430379747,0.0,0.0
-0.08734177215189873,-0.7721518987341772,0.0,0.0
-0.08734177215189873,-0.7974683544303798,0.0,0.0
-0.08734177215189873,-0.8227848101265823,0.0,0.0
-0.08734177215189873,-0.8481012658227848,0.0,0.0
-0.08734177215189873,-0.8734177215189873,0.0,0.0
-0.08734177215189873,-0.8987341772151899,0.0,0.0
-0.08734177215189873,-0.9240506329113924,0.0,0.0
-0.08734177215189873,-0.9493670886075949,0.0,0.0
-0.08734177215189873,-0.9746835443037974,0.0,0.0
-0.08734177215189873,-1.0,0.0,0.0
-0.08481012658227848,1.0,0.0,0.0
-0.08481012658227848,0.9746835443037974,0.0,0.0
-0.08481012658227848,0.9493670886075949,0.0,0.0
-0.08481012658227848,0.9240506329113924,0.0,0.0
-0.08481012658227848,0.8987341772151899,0.0,0.0
-0.08481012658227848,0.8734177215189873,0.0,0.0
-0.08481012658227848,0.8481012658227848,0.0,0.0
-0.08481012658227848,0.8227848101265823,0.0,0.0
-0.08481012658227848,0.7974683544303798,0.0,0.0
-0.08481012658227848,0.7721518987341772,0.0,0.0
-0.08481012658227848,0.7468354430379747,0.0,0.0
-0.08481012658227848,0.7215189873417721,0.0,0.0
-0.08481012658227848,0.6962025316455697,0.0,0.0
-0.08481012658227848,0.6708860759493671,0.0,0.0
-0.08481012658227848,0.6455696202531646,0.0,0.0
-0.08481012658227848,0.620253164556962,0.0,0.0
-0.08481012658227848,0.5949367088607594,0.0,0.0
-0.08481012658227848,0.569620253164557,0.0,0.0
-0.08481012658227848,0.5443037974683544,0.0,0.0
-0.08481012658227848,0.5189873417721519,0.0,0.0
-0.08481012658227848,0.4936708860759494,0.0,0.0
-0.08481012658227848,0.46835443037974683,0.0,0.0
-0.08481012658227848,0.4430379746835443,0.0,0.0
-0.08481012658227848,0.4177215189873418,0.0,0.0
-0.08481012658227848,0.3924050632911392,0.0,0.0
-0.08481012658227848,0.3670886075949367,0.0,0.0
-0.08481012658227848,0.34177215189873417,0.0,0.0
-0.08481012658227848,0.31645569620253167,0.0,0.0
-0.08481012658227848,0.2911392405063291,0.0,0.0
-0.08481012658227848,0.26582278481012656,0.0,0.0
-0.08481012658227848,0.24050632911392406,0.0,0.0
-0.08481012658227848,0.21518987341772153,0.0,0.0
-0.08481012658227848,0.189873417721519,0.0,0.0
-0.08481012658227848,0.16455696202531644,0.0,0.0
-0.08481012658227848,0.13924050632911392,0.0,0.0
-0.08481012658227848,0.11392405063291139,0.0,0.0
-0.08481012658227848,0.08860759493670886,0.0,0.0
-0.08481012658227848,0.06329113924050633,0.0,0.0
-0.08481012658227848,0.0379746835443038,0.0,0.0
-0.08481012658227848,0.012658227848101266,0.0,0.0
-0.08481012658227848,-0.012658227848101266,0.0,0.0
-0.08481012658227848,-0.0379746835443038,0.0,0.0
-0.08481012658227848,-0.06329113924050633,0.0,0.0
-0.08481012658227848,-0.08860759493670886,0.0,0.0
-0.08481012658227848,-0.11392405063291139,0.0,0.0
-0.08481012658227848,-0.13924050632911392,0.0,0.0
